"Login or Create an Account","ยินดีต้อนรับเข้าสู่ระบบช้อปปิ้งออนไลน์"
"Email Address","อีเมล"
"Password","รหัสผ่าน"
"Keywords","ค้นหายอดนิยม"
"SPECIAL DEAL","ดีลพิเศษ"
"Special Deals","ดีลพิเศษ"
"Today's Deals","ดีลวันนี้"
"View all","ดูทั้งหมด"
"Login","เข้าสู่ระบบ"
"log in","เข้าสู่ระบบ"
"Sign up","ลงทะเบียน"
"Log in to your Facebook profile","เข้าสู่ระบบด้วยบัญชีเฟสบุ๊คของท่าน"
"or","หรือ"
"Create Account","สมัครสมาชิกใหม่"
"Connect with Facebook","เชื่อมต่อกับเฟสบุ๊ค"
"Personal Information","ข้อมูลส่วนบุคคล"
"First Name","ชื่อ"
"Last Name","นามสกุล"
"Birthday","วันเกิด"
"DD","วัน"
"MM","เดือน"
"YYYY","ปี"
"Login Information","ข้อมูลสำหรับเข้าสู่ระบบ"
"Gender","เพศ"
"Confirm Password","ยืนยันรหัสผ่าน"
"Sign Up for Newsletter","สมัครสมาชิกจดหมายข่าว"
"* Required Fields","* ข้อมูลจำเป็น"
"Submit","บันทึก"
"My Account","บัญชีผู้ใช้ของฉัน"
"Log out","ออกจากระบบ"
"Change Password","เปลี่ยนแปลงรหัสผ่าน"
"Telephone","โทรศัพท์"
"Mobile","โทรศัพท์มือถือ"
"Fax","โทรสาร"
"Add New Address","เพิ่มที่อยู่ใหม่"
"Contact Information","ข้อมูลติดต่อ"
"State/Province","จังหวัด"
"City","เขต/อำเภอ"
"Subdistrict","แขวง/ตำบล"
"Zip/Postal Code","รหัสไปรษณีย์"
"Street Address","บ้านเลขที่"
"Country","ประเทศ"
"Address","ที่อยู่"
"Address Book","สมุดที่อยู่"
"Default Billing Address","ที่อยู่สำหรับออกใบเสร็จ / ใบกำกับภาษี"
"Default Shipping Address","ที่อยู่สำหรับจัดส่งสินค้า"
"Newsletters","จดหมายข่าว"
"Newsletter Subscription","สมัครสมาชิกจดหมายข่าว"
"Newsletter Email","สมาชิกจดหมายข่าว"
"Account Dashboard","ข้อมูลบัญชีสมาชิก"
"Account Information","ข้อมูลสมาชิก"
"My Orders","คำสั่งซื้อของฉัน"
"My Wishlist","สินค้าที่ชอบ"
"My Dashboard","ข้อมูลของฉัน"
"Edit Account Information","แก้ไขข้อมูลบัญชีผู้ใช้"
"Edit","แก้ไข"
"Edit Address","แก้ไขที่อยู่"
"Save","บันทึก"
"Save Address","บันทึกที่อยู่"
"There are no products matching the selection.","ไม่มีสินค้าที่ตรงกับที่คุณเลือก"
"You have not set a default shipping address.","คุณยังไม่มีที่อยู่สำหรับการจัดส่งสินค้า"
"You have not set a default billing address.","คุณยังไม่มีที่อยู่สำหรับการออกใบเสร็จ"
"Current Password","รหัสผ่านปัจจุบัน"
"New Password","รหัสผ่านใหม่"
"Confirm New Password","ยืนยันรหัสผ่านใหม่"
"You have placed no orders.","คุณยังไม่ได้สั่งซื้อ"
"Cart","ตะกร้าสินค้า"
"You have no items in your shopping cart.","ไม่มีรายการสินค้าในตะกร้า"
