"Advanced Dashboard", "Advanced Dashboard"
"Sales","Sales"
"Catalog","Catalog"
"Customers","Customers"
"Reviews","Reviews"
"Settings","Settings"
"Orders","Orders"
"Sales By Hour","Sales By Hour"
"Sales By Day of Week","Sales By Day of Week"
"Sales By Geo-data","Sales By Geo-data"
"Sales By Country","Sales By Country"
"Sales By Payment Type","Sales By Payment Type"
"Sales By Credit Card Type","Sales By Credit Card Type"
"Sales By Customer Group","Sales By Customer Group"
"Sales By Coupon","Sales By Coupon"
"Sales By Shopping Cart Price Rules","Sales By Shopping Cart Price Rules"
"Sales By Tax Rates","Sales By Tax Rates"
"New vs Returning Customers","New vs Returning Customers"
"Registered vs Unregistered Customers","Registered vs Unregistered Customers"
"Sales by Customer","Sales by Customer"
"Sales by Category","Sales by Category"
"Average Shipping Time","Average Shipping Time"
"Sales by Shipping Method","Sales by Shipping Method"
"Products / Bestsellers","Products / Bestsellers"
"Sales By Attribute","Sales By Attribute"
"Sales By Attribute Set","Sales By Attribute Set"
"Low Stock","Low Stock"
"Configuration","Configuration"
"Import Geo Data","Import Geo Data"
"Appearance","Appearance"
"Display Advanced Reports under native Reports","Display Advanced Reports under native Reports"
"Process Orders","Process Orders"
"Display addresses in the Customers report","Display addresses in the Customers report"
"not recommended for large collections","not recommended for large collections"
"Group data by time of","Group data by time of"
"Default value: Order Created","Default value: Order Created"
"Time Configuration","Time Configuration"
"Additional time offset, hours","Additional time offset, hours"
"Please do not change without the needs","Please do not change without the needs"
"Save configuration","Save configuration"
"Day","Day"
"Week","Week"
"Month","Month"
"Quarter","Quarter"
"Year","Year"
"Show By","Show By"
"Range","Range"
"From","From"
"To","To"
"Compare","Compare"
"Group By Attribute","Group By Attribute"
"Include child products","Include child products"
"Detail","Detail"
"not set","not set"
"Show All Products","Show All Products"
"View Product","View Product"
"Unique Guest Visits","Unique Guest Visits"
"Unique Customer Visits","Unique Customer Visits"
"Sales Report for %s is %s","Sales Report for %s is %s"
"Sales Report for attribute set %s","Sales Report for attribute set %s"
"Sales Report for %s","Sales Report for %s"
"Import Information","Import Information"
"Files to import","Files to import"
"Number of unknown postal codes","Number of unknown postal codes"
"Every hour, extension will fetch information for 100 postal codes","Every hour, extension will fetch information for 100 postal codes"
"Today","Today"
"Yesterday","Yesterday"
"This week","This week"
"Previous week","Previous week"
"This month","This month"
"Previous month","Previous month"
"This quarter","This quarter"
"Previous quarter","Previous quarter"
"This year","This year"
"Previous year","Previous year"
"Last 24h hours","Last 24h hours"
"Last 7 days","Last 7 days"
"Last 30 days","Last 30 days"
"Last 3 months","Last 3 months"
"Last 12 months","Last 12 months"
"Lifetime","Lifetime"
"Custom","Custom"
"Product Detail","Product Detail"
"Attribute Detail","Attribute Detail"
"Attribute Set Detail","Attribute Set Detail"
"Advanced Reports","Advanced Reports"
"File %s was successfully imported","File %s was successfully imported"
"Directory '%s' is not readable or does not exist.","Directory '%s' is not readable or does not exist."
