"Dynamic Products","Produits dynamiques"
"Matching Products","Produits correspondant"
"Special Product Condition","Conditions spéciales du produit"
"In Promo","En promotion"
"Is New","Marqué comme nouveau"
"Created","Créé"
"days","jours"
"during the last","lors des derniers"
"Quantity In Stock","Quantité en stock"
"In Stock","En stock"
"The grid generation is being processed. Please try again later.","Les produits correspondant sont en cours de récupération. Veuillez réessayer ultérieurement."
"and","et"
"Is Salable","Est vendable"
"Special Price Applied","Un prix spécial est appliqué"
"Total Child Products Quantity In Stock","Quantité totale de sous-produits en stock"
"Replace Matching Simple Products By Parent Products","Remplacer les produits simples correspondant aux conditions par le produit parent"
"Keep Orphans","Conserver les produits orphelins"
"Discard Orphans","Ignorer les produits orphelins"
"Automatically Reindex Matching Products","Réindexer automatiquement les produits correspondant aux conditions"
"If enabled, matching products will be refreshed automatically by a scheduled task.","Si activé, les produits correspondant seront actualisés par le biais d'une tâche programmée."
"Reindex Matching Products Every","Actualiser les produits correspondant toutes les"
"Specify time in hours.","Renseigner un intervalle en heure."
"Refresh Matching Products","Actualiser la liste"
"Are you sure? Unsaved data will be lost!","Êtes-vous sûr ? Les données non sauvegardées seront perdues !"
"Enable Category Reindexation Logging","Activer les logs de réindexation"
"If enabled, category reindexation will be logged and will display products matching conditions.","Si activé, la réindexation des catégories sera logguée et affichera la liste des produits correspondants aux conditions."
