"Add Recipient","Add Recipient"
"Some emails was not sent","บางอีเมลไม่ได้ส่ง"
"Some problems with data.","บางข้อมูลมีปัญหา"
"Name","ชื่อ"
"Name:","ชื่อ:"
"Remove Email","ลบอีเมลออก"
"Link to a friend was sent.","ลิงค์ไปให้เพื่อนถูกส่งไปแล้ว"
"Send product to a friend","ส่งสินค้าไปให้เพื่อน"
"Send email","ส่งอีเมล"
"Email Address","อีเมล"
"Email Address:","อีเมล:"
"Email:","อีเมล:"
"Email to a Friend","อีเมลไปให้เพื่อน"
"Allow for Guests","อนุญาตสำหรับผู้เยี่ยมชม"
"Recipient:","ผู้รับ:"
"Sender:","ผู้ส่ง:"
"Limit Sending By","จำกัดการส่งโดย"
"Max Products Sent in 1 Hour","จำนวนสินค้าสูงสุดที่ส่งไปภายใน 1 ชั่วโมง"
"Maximum %d email addresses allowed.","จำนวนอีเมลสูงสุดที่อนุญาต %d อีเมล"
"Max Recipients","จำนวนผู้รับสูงสุด"
"Message:","ข้อความ:"
"You cannot send more than %d times in an hour","คุณไม่สามารถส่งมากกว่า %d ครั้งใน 1 ชั่วโมง"
"You cannot email this product to a friend","คุณไม่สามารถส่งอีเมลสินค้านี้ไปหาเพื่อน"
"Select email template","เลือกเทมเพลตอีเมล"
"Email templates","เทมเพลตอีเมล"
"Enabled","เปิดการใช้งานแล้ว"
