"Rule Name","Rule Name"
"Affected Customer Groups", "Affected Customer Groups"
"Number Of Affected Categories", "Number Of Affected Categories"
"Number Of Affected Products", "Number Of Affected Products"
"Enabled", "Enabled"
"General Settings", "General Settings"
"Enable", "Enable"
"Name", "Name"
"Customer Groups", "Customer Groups"
"Products Access Restriction", "Products Access Restriction"
"ID", "ID"
"SKU", "SKU"
"Price", "Price"
"Category Access Restriction", "Category Access Restriction"
"Categories", "Categories"
"Restriction Action", "Restriction Action"
"Forbidden Action", "Forbidden Action"
"Allow Direct Product Links", "Allow Direct Product Links"
"Links", "Links"
"Remove Product Links", "Remove Product Links"
"Remove Category Links", "Remove Category Links"
"Price", "Price"
"Hide Price and Add To Cart", "Hide Price and Add To Cart"
"Replace with CMS Block on Product View", "Replace with CMS Block on Product View"
"Replace with CMS Block on Product List", "Replace with CMS Block on Product List"

