"SEO Rich Data","SEO Rich Data"
"Product","Product"
"Enabled","Enabled"
"Container Selector","Container Selector"
"Price Container","Price Container"
"Name Selector","Name Selector"
"Description Selector","Description Selector"
"Price Including Tax","Price Including Tax"
"Reviews Rating","Reviews Rating"
"Enabled","Enabled"
"Show Total Count for","Show Total Count for"
"Breadcrumbs","Breadcrumbs"
"Enabled","Enabled"
"Item Selector","Item Selector"
"Item Link Selector","Item Link Selector"
"Title container Selector","Title container Selector"
"Extend Breadcrumbs","Extend Breadcrumbs"
"Organization","Organization"
"Enabled","Enabled"
"Product Listings","Product Listings"
"Enabled on Category Pages","Enabled on Category Pages"
"Enable on ""Amasty Landing Pages"" Extension Pages","Enable on ""Amasty Landing Pages"" Extension Pages"
"Search Box","Search Box"
"Enabled","Enabled"
"Twitter Cards","Twitter Cards"
"Enabled","Enabled"
"Twitter Account","Twitter Account"
"Description Length","Description Length"
"Image Height (px)","Image Height (px)"
"Image Width (px)","Image Width (px)"
"SEO Rich Data","SEO Rich Data"
"Rich Data","Rich Data"
"%d Review(s)","%d Review(s)"
"Minimal Price:","Minimal Price:"
"Price","Price"
"Stock Status","Stock Status"
"Rating","Rating"
"Custom","Custom"
"Votes and Reviews","Votes and Reviews"
"Reviews","Reviews"
"Votes","Votes"
