"Select a Card","Select a Card"
"Card Verification Number","Card Verification Number"
"Use Another Card?","Use Another Card?"
"Use Saved Card?","Use Saved Card?"
"--Please Select--","--Please Select--"
"A general error has occurred","A general error has occurred"
"The communication to your bank has failed, please try again later","The communication to your bank has failed, please try again later"
"Sorry your card has been declined by your bank, please try a different card or check with your bank","Sorry your card has been declined by your bank, please try a different card or check with your bank"
"Your issuing bank has requested more information about the transaction, please contact them and try again","Your issuing bank has requested more information about the transaction, please contact them and try again"
"Your credit card has expired, please enter a valid card","Your credit card has expired, please enter a valid card"
"You have insufficient funds on the account for this transaction","You have insufficient funds on the account for this transaction"
"Sorry we are unable to reach your bank to verify this transaction, please try again.","Sorry we are unable to reach your bank to verify this transaction, please try again."
"Your card has reached its credit limit and this transaction cannot be processed","Your card has reached its credit limit and this transaction cannot be processed"
"Your CVN (3 digit code) is invalid, please amend and try again","Your CVN (3 digit code) is invalid, please amend and try again"
"Your Billing address does not match the one registered to that card, please amend your address and try again","Your Billing address does not match the one registered to that card, please amend your address and try again"
"Your card failed the authentication process, please try again","Your card failed the authentication process, please try again"
"Your card failed the fraud screening process, please check the details or try a new card","Your card failed the fraud screening process, please check the details or try a new card"
"Your billing and/or shipping address details are invalid or missing.","Your billing and/or shipping address details are invalid or missing."
"There is an error in processing the payment. Please try again or contact us.","There is an error in processing the payment. Please try again or contact us."
"Please click here to go back to your cart.","Please click here to go back to your cart."
"There has been an error with your payment","There has been an error with your payment"
"Please wait we are authorising your payment...","Please wait we are authorising your payment..."
"Notified customer about invoice #%s.","Notified customer about invoice #%s."
"There was an error submitting your order.","There was an error submitting your order."
"There was an error submitting your payment","There was an error submitting your payment"
"There was an error submitting your payment, please try again","There was an error submitting your payment, please try again"
"There was an error submitting your payment: ","There was an error submitting your payment: "
"Request from cybersource error","Request from cybersource error"
"Your CSV File contains more than 100 tokens. Please ensure only 100 tokens are imported at a time.","Your CSV File contains more than 100 tokens. Please ensure only 100 tokens are imported at a time."
"An error occurred while importing tokens.","An error occurred while importing tokens."
"Token (%s) has not been imported.","Token (%s) has not been imported."
"File has not been completely imported. See the following list of errors: %s","File has not been completely imported. See the following list of errors: %s"
"Invalid CSV format in the Row #%s","Invalid CSV format in the Row #%s"
"Gateway request error: %s","Gateway request error: %s"
"There is an error in refunding the payment. Please try again or process manually","There is an error in refunding the payment. Please try again or process manually"
"Error in refunding the payment.","Error in refunding the payment."
"Invalid Merchant ID specified within CSV File.","Invalid Merchant ID specified within CSV File."
"There is an error in retrieving a token for token ID: %s","There is an error in retrieving a token for token ID: %s"
"Cybersource Secure Acceptance","Cybersource Secure Acceptance"
"You will be redirected to our secure payment page when you place an order.","You will be redirected to our secure payment page when you place an order."
"Your card has been reported stolen or lost. Please contact your issuing bank or try a new card","Your card has been reported stolen or lost. Please contact your issuing bank or try a new card"
"Your Card is inactive or not authorized. Please contact your issuing bank or try a new card","Your Card is inactive or not authorized. Please contact your issuing bank or try a new card"
"AVS is not supported for this processor or card type.","AVS is not supported for this processor or card type."
"The processor returned an unrecognized value for the AVS response.","The processor returned an unrecognized value for the AVS response."
"The postal code do not match.","The postal code do not match."
"The postal code not verified. Returned only for non U.S.-issued Visa cards.","The postal code not verified. Returned only for non U.S.-issued Visa cards."
"Street address and postal code do not match.","Street address and postal code do not match."
"AVS data is invalid or AVS is not allowed for this card type.","AVS data is invalid or AVS is not allowed for this card type."
"Card member's name does not match, but billing postal code matches.","Card member's name does not match, but billing postal code matches."
"The bank does not support AVS.","The bank does not support AVS."
"Card member's name does not match.","Card member's name does not match."
"Address not verified.","Address not verified."
"The billing address and billing postal code do not match.","The billing address and billing postal code do not match."
"Card member's name and billing postal code match, but billing address does not match.","Card member's name and billing postal code match, but billing address does not match."
"Either Street address and postal code do not match or Card member's name, street address and postal code do not match.","Either Street address and postal code do not match or Card member's name, street address and postal code do not match."
"Card member's name and billing address match, but billing postal code does not match.","Card member's name and billing address match, but billing postal code does not match."
"The street address not verified.","The street address not verified."
"System unavailable.","System unavailable."
"The bank does not support AVS.","The bank does not support AVS."
"Card member's name does not match, but street address matches.","Card member's name does not match, but street address matches."
"Address information unavailable for this card.","Address information unavailable for this card."
"Street address does not match, but 9-digit postal code matches.","Street address does not match, but 9-digit postal code matches."
