"Edit Banner Images '%s'","Edit Banner Images '%s'"
"Edit Block '%s'","Edit Block '%s'"
"Edit Category '%s'","Edit Category '%s'"
"------- Please choose banner position -------","------- Please choose banner position -------"
"Action","Action"
"Add Banner Image","Add Banner Image"
"Add Block","Add Block"
"Add Category","Add Category"
"Add New Category","Add New Category"
"Add New Image","Add New Image"
"All Images","All Images"
"Are you sure?","Are you sure?"
"Banner Block","Banner Block"
"Banner Description","Banner Description"
"Banner Image Information","Banner Image Information"
"Banner Image","Banner Image"
"Banner Title","Banner Title"
"Banner Url","Banner Url"
"Block Information","Block Information"
"Block Manager","Block Manager"
"Block Position","Block Position"
"Block Title","Block Title"
"Block information","Block information"
"Block max width","Block max width"
"Block was successfully saved","Block was successfully saved"
"CSV","CSV"
"Cart & Checkout","Cart & Checkout"
"Cart-Content-Top","Cart-Content-Top"
"Catalog and product","Catalog and product"
"Catalog-Content-Top","Catalog-Content-Top"
"Catalog-Menu-Bottom","Catalog-Menu-Bottom"
"Catalog-Menu-Top","Catalog-Menu-Top"
"Catalog-Page-Bottom","Catalog-Page-Bottom"
"Catalog-Sidebar-Bottom-Left","Catalog-Sidebar-Bottom-Left"
"Catalog-Sidebar-Bottom-Right","Catalog-Sidebar-Bottom-Right"
"Catalog-Sidebar-Top-Left","Catalog-Sidebar-Top-Left"
"Catalog-Sidebar-Top-Right","Catalog-Sidebar-Top-Right"
"Category Information","Category Information"
"Category Title","Category Title"
"Category only","Category only"
"Category was successfully saved","Category was successfully saved"
"Category-Content-Top","Category-Content-Top"
"Category-Menu-Bottom","Category-Menu-Bottom"
"Category-Menu-Top","Category-Menu-Top"
"Category-Page-Bottom","Category-Page-Bottom"
"Category-Sidebar-Bottom-Left","Category-Sidebar-Bottom-Left"
"Category-Sidebar-Bottom-Right","Category-Sidebar-Bottom-Right"
"Category-Sidebar-Top-Left","Category-Sidebar-Top-Left"
"Category-Sidebar-Top-Right","Category-Sidebar-Top-Right"
"Change Banner","Change Banner"
"Change status","Change status"
"Checkout-Content-Top","Checkout-Content-Top"
"Choose Banner","Choose Banner"
"Content-Top","Content-Top"
"Count Click","Count Click"
"Count Show","Count Show"
"Custom Position (will be displayed on custom position)","Custom Position (will be displayed on custom position)"
"Custom","Custom"
"Customer Group","Customer Group"
"Customer Groups","Customer Groups"
"Delete Banner","Delete Banner"
"Delete Block","Delete Block"
"Delete Category","Delete Category"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Display Type","Display Type"
"Edit","Edit"
"Enabled","Enabled"
"From Date","From Date"
"General (will be displayed on all pages)","General (will be displayed on all pages)"
"Homepage-Content-Top","Homepage-Content-Top"
"ID","ID"
"Image","Image"
"Images was successfully saved","Images was successfully saved"
"Item Manager","Item Manager"
"Item does not exist","Item does not exist"
"Item information","Item information"
"Item was successfully deleted","Item was successfully deleted"
"Items Manager","Items Manager"
"Manage Banner Categories","Manage Banner Categories"
"Manage Banner Images","Manage Banner Images"
"Manage Categories","Manage Categories"
"Menu-Bottom","Menu-Bottom"
"Menu-Top","Menu-Top"
"NOT LOGGED IN","NOT LOGGED IN"
"New Banner","New Banner"
"New Category","New Category"
"Page-Bottom","Page-Bottom"
"Please select item(s)","Please select item(s)"
"Popular positions","Popular positions"
"Product only","Product only"
"Product-Content-Top","Product-Content-Top"
"Product-Menu-Bottom","Product-Menu-Bottom"
"Product-Menu-Top","Product-Menu-Top"
"Product-Page-Bottom","Product-Page-Bottom"
"Product-Sidebar-Bottom-Right","Product-Sidebar-Bottom-Right"
"Product-Sidebar-Top-Left","Product-Sidebar-Top-Left"
"Product-Sidebar-Top-Right","Product-Sidebar-Top-Right"
"Random","Random"
"Report Banner","Report Banner"
"Save And Continue Edit","Save And Continue Edit"
"Save Banner","Save Banner"
"Save Block","Save Block"
"Save Category","Save Category"
"Select Images","Select Images"
"Sidebar-Bottom-Left","Sidebar-Bottom-Left"
"Sidebar-Bottom-Right","Sidebar-Bottom-Right"
"Sidebar-Top-Left","Sidebar-Top-Left"
"Sidebar-Top-Right","Sidebar-Top-Right"
"Slider","Slider"
"Slider with description","Slider with description"
"Fade","Fade"
"Fade with description","Fade with description"
"Sort Order","Sort Order"
"Status","Status"
"Store View","Store View"
"Title","Title"
"To Date","To Date"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Unable to find item to save","Unable to find item to save"
"Upload new image for this block","Upload new image for this block"
"XML","XML"
"Banner Ads","Banner Ads"
"Bannerads Permission Setting","Bannerads Permission Setting"
"Display Setting","Display Setting"
"Enable Module","Enable Module"
"General Setting","General Setting"
"Sales Motivation","Sales Motivation"
"Settings","Settings"
"Category Type", "Category Type"
"All Categories","All Categories"
"All categories except below","All categories except below"
"Certain Categories","Certain Categories"
"Category","Category"
