"%s was successfully added to your shopping cart.","%s ถูกเพิ่มลงในตะกร้าของคุณแล้ว"
"&laquo; Back to Shopping Cart","&laquo; กลับไปยังตะกร้า"
"&laquo; Back to Select Addresses","&laquo; กลับไปยังหน้าสำหรับเลือกที่อยู่"
"&laquo; Back to Billing Information","&laquo; กลับไปยังข้อมูลสำหรับออกใบเสร็จ"
"Required Fields","* ข้อมูลจำเป็น"
"Company","บริษัท"
"Save in address book","บันทึกในสมุดที่อยู่"
"Fast and easy check out","ชำระเงินอย่างสะดวกและรวดเร็ว"
"Product Name","ชื่อสินค้า"
"Please <a href=""%s"">continue shopping</a>.","กรุณา <a href=""%s"">ดำเนินการซื้อต่อไป</a>."
"Please enter a valid zip code. For example 90602 or 90602-1234.","กรุณาใส่รหัสไปรษณีย์ที่ถูกต้อง ตัวอย่างเช่น 90602 หรือ 90602-1234."
"Enter your destination to get a shipping estimate.","กรุณาใส่ปลายทางของคุณเพื่อประเมินค่าขนส่ง"
"Please select region, state or province","กรุณาเลือกภูมิภาค รัฐ หรือจังหวัด"
"Please select shipping methods for all addresses","กรุณาเลือกวิธีจัดส่งสินค้าสำหรับทุกที่อยู่"
"Please log in below:","กรุณาเขาสู่ระบบด้านล่าง:"
"Back","กลับ"
"Back to Shipping Information","กลับไปยังหน้าข้อมูลการจัดส่งสินค้า"
"Grouped product image","กลุ่มรูปสินค้า"
"Card Verification Number Visual Reference","การอ้างอิงถึงหมายเลขยืนยันบัตรเครดิตที่มองเห็น"
"Submitting order information...","กำลังยืนยันข้อมูลคำสั่งซื้อ..."
"Loading next step...","กำลังโหลดขั้นตอนถัดไป..."
"There is already a customer registered using this email address","มีลูกค้าที่ลงทะเบียนโดยใช้อีเมล์นี้อยู่แล้ว"
"Coupon code was canceled successfully.","ยกเลิกรหัสคูปองสำเร็จ."
"Cancel Coupon","ยกเลิกคูปอง"
"Cart Subtotal:","ยอดรวมสินค้าในตะกร้า:"
"Shipping method has not been selected yet","ยังไม่ได้เลือกวิธีการส่งสินค้า"
"Confirm Password","ยืนยันรหัสผ่าน"
"Move to Wishlist","ย้ายไปยัง Wishlist"
"Subtotal","รวม"
"Grand Total:","รวมทั้งหมด:"
"Discount Codes","รหัสส่วนลด"
"Password","รหัสผ่าน"
"Coupon code ""%s"" is not valid.","รหัสคูปอง ""%s"" ไม่ถูกต้อง"
"Zip/Postal Code","รหัสไปรษณีย์"
"State/Province","รัฐ/จังหวัด"
"Items","ชิ้น"
"Recently added item(s)","รายการที่เพิ่มเมื่อไม่นานนี้"
"Price","ราคา"
"Unit Price","ราคาต่อหน่วย"
"Shopping Cart is Empty","ตะกร้ายังว่างเปล่าอยู่"
"Shopping Cart","ตะกร้าสินค้า"
"My Cart","ตะกร้าของฉัน"
"My Cart (%s item)","ตะกร้าของฉัน (%s รายการ)"
"My Cart (%s items)","ตะกร้าของฉัน (%s รายการ)"
"Remove Item","ลบรายการสินค้าออก"
"Remove Product","ลบสินค้าออก"
"Remove","ลบออก"
"My Cart Link","ลิงค์ตะกร้าของฉัน"
"Forgot your password?","ลืมรหัสผ่านของคุณ?"
"Forgot an Item?","ลืมรายการสินค้า?"
"Register","ลงทะเบียน"
"Register with us for future convenience:","ลงทะเบียนกับเราเพื่อความสะดวกในอนาคต:"
"Already registered?","ลงทะเบียนแล้ว?"
