"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping"
"%s's Wishlist","%s's Wishlist"
"* Required Fields","* ฟิลด์ที่ต้องการ"
"Are You sure?","Are You sure?"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","กรุณาใส่อีเมล์ที่ถูกต้องและแบ่งด้วยเครื่องหมายจุลภาค ตัวอย่างเช่น johndoe@domain.com, johnsmith@domain.com"
"Please, enter your comments...","กรุณาใส่ข้อความข้อคิดเห็นของคุณ..."
"Back","กลับ"
"Sharing Information","กำลังแบ่งข้อมูล"
"There was an error while deleting item from wishlist.","มีความผิดพลาดขณะลบรายการสินค้าจาก wishlist."
"There was an error while deleting item from wishlist: %s","มีความผิดพลาดขณะลบรายการสินค้าจาก wishlist: %s"
"There was an error while adding item to wishlist.","มีความผิดพลาดขณะเพิ่มรายการสินค้าลงใน wishlist."
"There was an error while adding item to wishlist: %s","มีความผิดพลาดขณะเพิ่มรายการสินค้าลงใน wishlist: %s"
"Your Wishlist was successfully shared","สร้า้งการใช้งานร่วมกัน Wishlist ของคุณแล้ว"
"Product","สินค้า"
"This product(s) is currently out of stock:","สินค้าออกจากคลังสินค้า"
"Email addresses, separated by commas","อีเมล แยกด้วยเครื่องหมายจุลภาค (,)"
"Email address can't be empty.","อีเมลไม่ว่าง"
"Email Sender","ผู้ส่งอีเมล"
"Message","ข้อความ"
"Comment","ข้อคิดเห็น"
"View Product","ดูสินค้า"
"You have no items in your wishlist.","คุณยังไม่มีรายการสินค้าที่สนใจ"
"Are you sure you would like to remove this item from the wishlist?","คุณแน่ใจว่าต้องการลบรายการนี้ออกจาก Wishlist?"
"Are you sure you want to remove this product from your wishlist?","คุณแน่ใจว่าต้องการลบสินค้านี้ออกจาก Wishlist ของคุณ?"
"You input not valid email address.","คุณใส่ที่อยู่อีเมลไม่ถูกต้อง."
"Share options","ตัวเลือกการ ใช้งานร่วมกัน"
"General Options","ตัวเลือกทั่วไป"
"Update Wishlist","ปรับปรุง Wishlist"
"Wishlist Sharing","ใช้ Wishlist ร่วมกัน"
"Share Your Wishlist","แบ่งปันสินค้าโปรดของคุณ"
"Can't save description %s","ไม่สามารถบันทึกประเภทนี้ได้%s"
"Cannot specify product","ไม่สามารถระบุสินค้า"
"Cannot create wishlist","ไม่สามารถสร้าง wishlist"
"Go to Wishlist","ไปยัง Wishlist"
"Last Added Items","เพิ่ม รายการ ล่าสุด"
"Add All to Cart","เพิ่มทั้งหมดไปยังตะกร้า"
"Add to Wishlist","เพิ่มไปยัง Wishlist"
"Add to Cart","เพิ่มไปยังตะกร้า"
"Added On","เพิ่มเมื่อ"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","เลือกตัวเลือกนี้หากคุณต้องการเพิ่มลิงค์ไปยัง rss feed ไปยัง wishlist ของคุณ"
"Email Template","เทมเพลตอีเมล"
"Enabled","เปิดการใช้งาน"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","RSS link to %s's wishlist"
"Share Wishlist","Share Wishlist"
"Wishlist","Wishlist"
"My Wishlist","Wishlist ของฉัน"
"My Wishlist (%d item)","Wishlist ของฉัน (%d รายการ)"
"My Wishlist (%d items)","Wishlist ของฉัน (%d รายการ)"
"Wishlist is empty now.","Wishlist ตอนนี้ว่าง."
"Edit","แก้ไข"
"Update Wishlist","ปรับปรุงสินค้าโปรด"
"Share Wishlist","แบ่งปันสินค้าโปรด"
"My Wishlist","สินค้าที่สนใจ"
"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s ได้ถูกเพิ่มในรายการโปรดของคุณแล้ว"
"Your Wishlist has been shared.","แบ่งปันสินค้าโปรดของคุณเรียบร้อยแล้ว"
"%d product(s) have been added to shopping cart: %s.","สินค้า %d ชิ้น ประกอบด้วย: %s เพิ่มไปยังตะกร้าสินค้าเรียบร้อยแล้ว"
"%1$s has been added to your wishlist.","เพิ่ม %1$s ไว้ในสินค้าที่สนใจเรียบร้อยแล้ว"
"Remove All Items","ลบสินค้าทั้งหมด"
